year	unemployment_rate
1990	4.84325915
1991	8.370491933333332
1992	10.95120655
1993	11.688433999999999
1994	11.890202608333334
1995	9.587564416666668
1996	8.666259141666666
1997	8.984480275000001
1998	8.209583133333334
1999	7.412451241666666
2000	6.657051983333332
2001	6.007549949999999
2002	6.3831652
2003	5.725709958333333
2004	5.420578550000001
2005	5.500262250000001
2006	5.218011583333333
2007	4.788267191666667
2008	4.506580666666666
2009	5.0784511
2010	5.503936374999999
2011	5.0437773833333335
2012	5.365026258333334
2013	5.6477348833333325
2014	6.178569041666666
2015	6.444237133333334
